CustomerID,OrderID,Age,AgeGroup,Gender,IncomeLevel,OrderFrequency,Location,PreferredCuisine
1,70A2,26,26-35,Female,Medium,Low,Bangalore,South Indian
2,95B4,22,18-25,Male,Low,Low,Bangalore,South Indian
3,CDCD,23,18-25,Male,Low,Low,Bangalore,Lucknowi
4,2784,23,18-25,Male,Medium,Low,Bangalore,Biryani
5,6F67,28,26-35,Male,Medium,Medium,Bangalore,Gujarati
6,539B,33,26-35,Male,Medium,Medium,Bangalore,Chinese
7,8BC0,34,26-35,Male,Low,High,Bangalore,Desserts
8,30C8,38,36-45,Female,Medium,Low,Bangalore,Gujarati
9,B843,29,26-35,Male,Medium,High,Bangalore,Snacks
10,9B18,37,36-45,Male,Medium,Low,Bangalore,Gujarati
11,4F0,49,46+,Female,Medium,Low,Bangalore,Mughlai
12,6999,52,46+,Male,Low,Low,Bangalore,Desserts
13,63B6,44,36-45,Female,Low,High,Bangalore,Desserts
14,A30B,33,26-35,Male,High,Low,Bangalore,Mughlai
15,7AC8,40,36-45,Male,Medium,High,Bangalore,Gujarati
16,272D,23,18-25,Female,High,Medium,Bangalore,Chinese
17,73CC,23,18-25,Male,Low,High,Bangalore,Chinese
18,A9F,27,26-35,Female,Medium,Medium,Bangalore,North Indian
19,4B7F,48,46+,Male,Low,Medium,Bangalore,North Indian
20,56AD,23,18-25,Female,Low,High,Bangalore,Desserts
21,C19E,24,18-25,Male,Low,Medium,Bangalore,Mughlai
22,3.50E+07,49,46+,Male,Medium,Low,Bangalore,Punjabi
23,9.70E+04,25,18-25,Female,High,Medium,Bangalore,North Indian
24,22AD,50,46+,Female,Medium,Low,Bangalore,Snacks
25,9F99,49,46+,Female,High,Medium,Bangalore,Chinese
26,1.00E+42,29,26-35,Female,Low,Medium,Bangalore,Gujarati
27,DDC8,60,46+,Male,Low,Low,Bangalore,Chinese
28,24AC,45,36-45,Male,Medium,Low,Bangalore,North Indian
29,628C,56,46+,Female,Medium,Low,Bangalore,Chinese
30,6C38,46,46+,Male,Medium,Medium,Bangalore,Punjabi
31,8339,41,36-45,Male,Medium,Medium,Bangalore,Biryani
32,3EC5,59,46+,Female,Low,Low,Bangalore,Desserts
33,6.00E+02,30,26-35,Female,Low,Low,Bangalore,Snacks
34,2BC0,20,18-25,Female,Medium,Medium,Bangalore,Chinese
35,39EF,28,26-35,Male,Medium,Low,Bangalore,Chinese
36,9A29,29,26-35,Female,Medium,Low,Bangalore,Desserts
37,4008,29,26-35,Male,Low,High,Bangalore,South Indian
38,81A5,42,36-45,Female,Low,Medium,Bangalore,North Indian
39,AE56,18,18-25,Male,High,High,Bangalore,Tandoor
