Traffic_Level,ID,Delivery_person_ID,weather_description,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Rating,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,temperature,humidity,precipitation,Distance_km,DeliveryTimeMins,RestaurantID,CustomerID,OrderID,Age,AgeGroup,Gender,IncomeLevel,OrderFrequency,Location,PreferredCuisine,Area,City,RestaurantName,Price,AvgRating,Total ratings,FoodType,Address,Delivery time,ReducedTime,Delivery Band,Reduced DeliveryTime
High,70A2,CHENRES12DEL01,mist,Snack,scooter,32,4.6,12.972.793,80.249.982,13.012.793,80.289.982,26.55,87,0,9.89,43.45,84158,1,70A2,26,26-35,Female,Medium,Low,Bangalore,South Indian,Paschim Vihar,Delhi,Lakhan Pan,100,4.6,50,Juices,Paschim Vihar,47,39.105,45+ mins,39.105
High,B4B7,BANGRES02DEL01,fog,Meal,motorcycle,33,4.7,12.970.221,77.645.396,13.080.221,77.755.396,19.23,93,0,22.64,46.55,425927,1348,B4B7,29,26-35,Male,Medium,Low,Bangalore,Snacks,Mantri Sqare Mall,Bangalore,Barbecue By Punjab Grill,900,2.9,80,"North Indian,Indian,Biryani,Punjabi,Kebabs,Mughlai,Desserts",Mantri Sqare Mall,61,41.895,45+ mins,41.895
High,2784,PUNERES13DEL03,clear sky,Drinks,scooter,23,4.7,1.856.245,73.916.619,1.865.245,74.006.619,19.37,65,0,21.93,49.45,415653,4,2784,23,18-25,Male,Medium,Low,Bangalore,Biryani,Vastrapur,Ahmedabad,Punjab Da Chaska,250,2.9,80,North Indian,Vastrapur,50,44.505,45+ mins,44.505
Moderate,21F2,HYDRES05DEL03,haze,Drinks,motorcycle,37,4.5,17.433.809,78.386.744,17.463.809,78.416.744,22.91,60,0,8.92,35.6,415653,6246,21F2,18,18-25,Female,Medium,High,Bangalore,Desserts,Vastrapur,Ahmedabad,Punjab Da Chaska,250,2.9,80,North Indian,Vastrapur,50,32.04,45+ mins,32.04
Low,3311,INDORES07DEL02,haze,Buffet,electric_scooter,39,5,22.722.634,75.886.959,22.742.634,75.906.959,17.03,72,0,4.17,19.2,381838,2897,3311,56,46+,Male,High,Medium,Bangalore,Mughlai,South Kolkata,Kolkata,37 Relish Route,200,2.9,80,"Bengali,Continental",South Kolkata,82,17.28,45+ mins,17.28
Low,59A4,JAPRES18DEL03,haze,Meal,scooter,39,4.8,26.913.987,75.752.891,26.943.987,75.782.891,23.61,46,0,8.25,19.95,434237,4177,59A4,46,46+,Female,Medium,Low,Bangalore,South Indian,Kurla,Mumbai,Lark Pure Vegetarian Restaurant,300,2.9,80,"Indian,Chinese,Italian,Beverages,Fast Food",Kurla,40,17.955,31-45 mins,17.955
High,4F0,MUMRES17DEL02,clear sky,Drinks,scooter,29,4.6,19.121.999,72.908.493,19.201.999,72.988.493,24.42,49,0,19.19,46.25,110797,11,4F0,49,46+,Female,Medium,Low,Bangalore,Mughlai,Beleghata,Kolkata,Pangong,250,4.5,100,"Chinese,Indian,Fast Food",Beliaghat,51,41.625,45+ mins,41.625
High,5600,INDORES03DEL02,haze,Drinks,scooter,29,4,22.751.857,75.866.699,22.831.857,75.946.699,22.19,60,0,19.3,55.9,33038,1953,5600,26,26-35,Female,Low,Low,Bangalore,Biryani,Baner,Pune,The Greedy Man Pizzeria,1000,4.1,100,"Italian,Desserts,Italian-American",Baner,71,50.31,45+ mins,50.31
Moderate,9553,RANCHIRES15DEL03,mist,Snack,motorcycle,35,4.6,23.369.746,8.533.982,23.429.746,8.539.982,20.19,83,0,14.53,37.05,33038,6557,9553,57,46+,Male,Low,Low,Bangalore,Mughlai,Baner,Pune,The Greedy Man Pizzeria,1000,4.1,100,"Italian,Desserts,Italian-American",Baner,71,33.345,45+ mins,33.345
High,A30B,CHENRES11DEL01,mist,Drinks,motorcycle,37,4.8,13.064.181,80.236.442,13.104.181,80.276.442,26.14,88,0,8.68,46.45,226467,14,A30B,33,26-35,Male,High,Low,Bangalore,Mughlai,Kharkhana & Trimulgherry,Hyderabad,Brown Bear,250,3.4,20,Bakery  Desserts,Kharkhana & Trimulgherry,76,41.805,45+ mins,41.805
